Year,League,Statistic,Team,Value
1919,AL,Stolen Bases,Chicago,150.0
1919,AL,Triples,Detroit,84.0
1920,AL,Base on Balls,Cleveland,574.0
1920,AL,Batting Average,St. Louis,0.308
1920,AL,Doubles,Cleveland,301.0
1920,AL,Hits,St. Louis,1650.0
1920,AL,Home Runs,New York,115.0
1920,AL,On Base Percentage,Cleveland,0.376
1920,AL,Runs,Cleveland,856.0
1920,AL,Slugging Average,New York,0.426
1920,AL,Stolen Bases,Washington,160.0
1920,AL,Triples,Chicago,98.0
1921,AL,Base on Balls,Cleveland,619.0
1921,AL,Batting Average,Detroit,0.316
1921,AL,Doubles,Cleveland,355.0
1921,AL,Hits,Detroit,1723.0
1921,AL,Home Runs,New York,134.0
1921,AL,On Base Percentage,Detroit,0.385
1921,AL,Runs,New York,948.0
1921,AL,Slugging Average,New York,0.464
1921,AL,Stolen Bases,Washington,112.0
1921,AL,Triples,St. Louis,105.0
1922,AL,Base on Balls,Cleveland,550.0
1922,AL,Batting Average,St. Louis,0.31
1922,AL,Doubles,Cleveland,320.0
1922,AL,Hits,St. Louis,1684.0
1922,AL,Home Runs,Philadelphia,111.0
1922,AL,On Base Percentage,Detroit,0.373
1922,AL,Runs,St. Louis,867.0
1922,AL,Slugging Average,St. Louis,0.453
1922,AL,Stolen Bases,St. Louis,136.0
1922,AL,Triples,St. Louis,94.0
1923,AL,Base on Balls,Cleveland,633.0
1923,AL,Batting Average,Cleveland,0.301
1923,AL,Doubles,Cleveland,301.0
1923,AL,Hits,Cleveland,1594.0
1923,AL,Home Runs,New York,105.0
1923,AL,On Base Percentage,Cleveland,0.381
1923,AL,Runs,Cleveland,888.0
1923,AL,Slugging Average,New York,0.422
1923,AL,Stolen Bases,Chicago,191.0
1923,AL,Triples,Washington,93.0
1924,AL,Base on Balls,Detroit,607.0
1924,AL,Batting Average,Detroit,0.298
1924,AL,Doubles,Detroit,315.0
1924,AL,Hits,Detroit,1604.0
1924,AL,Home Runs,New York,98.0
1924,AL,On Base Percentage,Detroit,0.373
1924,AL,Runs,Detroit,849.0
1924,AL,Slugging Average,New York,0.426
1924,AL,Stolen Bases,Chicago,137.0
1924,AL,Triples,Washington,88.0
1925,AL,Base on Balls,Chicago,662.0
1925,AL,Batting Average,Philadelphia,0.307
1925,AL,Doubles,St. Louis,304.0
1925,AL,Hits,Philadelphia,1659.0
1925,AL,Home Runs,New York,110.0
1925,AL,On Base Percentage,Detroit,0.379
1925,AL,Runs,Detroit,903.0
1925,AL,Slugging Average,St. Louis,0.439
1925,AL,Stolen Bases,Washington,135.0
1925,AL,Triples,Detroit,84.0
1926,AL,Base on Balls,New York,642.0
1926,AL,Batting Average,Washington,0.292
1926,AL,Doubles,Cleveland,333.0
1926,AL,Hits,Detroit,1547.0
1926,AL,Home Runs,New York,121.0
1926,AL,On Base Percentage,New York,0.369
1926,AL,Runs,New York,847.0
1926,AL,Slugging Average,New York,0.437
1926,AL,Stolen Bases,Chicago,123.0
1926,AL,Triples,Washington,97.0
1927,AL,Base on Balls,New York,635.0
1927,AL,Batting Average,New York,0.307
1927,AL,Doubles,Cleveland,321.0
1927,AL,Hits,New York,1644.0
1927,AL,Home Runs,New York,158.0
1927,AL,On Base Percentage,New York,0.383
1927,AL,Runs,New York,975.0
1927,AL,Slugging Average,New York,0.489
1927,AL,Stolen Bases,Detroit,139.0
1927,AL,Triples,New York,103.0
1928,AL,Base on Balls,New York,562.0
1928,AL,Batting Average,New York,0.296
1928,AL,Doubles,Philadelphia,323.0
1928,AL,Hits,New York,1578.0
1928,AL,Home Runs,New York,133.0
1928,AL,On Base Percentage,New York,0.365
1928,AL,Runs,New York,894.0
1928,AL,Slugging Average,New York,0.45
1928,AL,Stolen Bases,Chicago,139.0
1928,AL,Triples,Detroit,97.0
1929,AL,Base on Balls,St. Louis,589.0
1929,AL,Batting Average,Detroit,0.299
1929,AL,Doubles,Detroit,339.0
1929,AL,Hits,Detroit,1671.0
1929,AL,Home Runs,New York,142.0
1929,AL,On Base Percentage,Philadelphia,0.365
1929,AL,Runs,Detroit,926.0
1929,AL,Slugging Average,Detroit,0.453
1929,AL,Stolen Bases,Chicago,109.0
1929,AL,Triples,Detroit,97.0
1930,AL,Base on Balls,New York,644.0
1930,AL,Batting Average,New York,0.309
1930,AL,Doubles,Cleveland,358.0
1930,AL,Hits,New York,1683.0
1930,AL,Home Runs,New York,152.0
1930,AL,On Base Percentage,New York,0.384
1930,AL,Runs,New York,1062.0
1930,AL,Slugging Average,New York,0.488
1930,AL,Stolen Bases,Washington,101.0
1930,AL,Triples,New York,110.0
1931,AL,Base on Balls,New York,748.0
1931,AL,Batting Average,New York,0.297
1931,AL,Doubles,Cleveland,321.0
1931,AL,Hits,New York,1667.0
1931,AL,Home Runs,New York,155.0
1931,AL,On Base Percentage,New York,0.383
1931,AL,Runs,New York,1067.0
1931,AL,Slugging Average,New York,0.457
1931,AL,Stolen Bases,New York,138.0
1931,AL,Triples,Washington,93.0
1932,AL,Base on Balls,New York,766.0
1932,AL,Batting Average,Philadelphia,0.29
1932,AL,Doubles,Cleveland,310.0
1932,AL,Hits,Philadelphia,1606.0
1932,AL,Home Runs,Philadelphia,172.0
1932,AL,On Base Percentage,New York,0.376
1932,AL,Runs,New York,1002.0
1932,AL,Slugging Average,Philadelphia,0.457
1932,AL,Stolen Bases,Detroit,103.0
1932,AL,Triples,Washington,100.0
1933,AL,Base on Balls,New York,700.0
1933,AL,Batting Average,Washington,0.287
1933,AL,Doubles,Philadelphia,297.0
1933,AL,Hits,Washington,1586.0
1933,AL,Home Runs,New York,144.0
1933,AL,On Base Percentage,New York,0.369
1933,AL,Runs,New York,927.0
1933,AL,Stolen Bases,New York,76.0
1933,AL,Triples,Washington,86.0
1934,AL,Base on Balls,New York,700.0
1934,AL,Batting Average,Detroit,0.3
1934,AL,Doubles,Detroit,349.0
1934,AL,Hits,Detroit,1644.0
1934,AL,Home Runs,Philadelphia,144.0
1934,AL,On Base Percentage,Detroit,0.376
1934,AL,Runs,Detroit,958.0
1934,AL,Slugging Average,Philadelphia,0.425
1934,AL,Stolen Bases,Detroit,125.0
1934,AL,Triples,Boston,70.0
1935,AL,Base on Balls,Detroit,627.0
1935,AL,Batting Average,Detroit,0.29
1935,AL,Doubles,Cleveland,324.0
1935,AL,Hits,Washington,1591.0
1935,AL,Home Runs,Philadelphia,112.0
1935,AL,On Base Percentage,Detroit,0.366
1935,AL,Runs,Detroit,919.0
1935,AL,Slugging Average,Detroit,0.435
1935,AL,Stolen Bases,Boston,91.0
1935,AL,Triples,Washington,95.0
1936,AL,Base on Balls,New York,700.0
1936,AL,Batting Average,Cleveland,0.304
1936,AL,Doubles,Cleveland,357.0
1936,AL,Hits,Cleveland,1715.0
1936,AL,Home Runs,New York,182.0
1936,AL,On Base Percentage,New York,0.381
1936,AL,Runs,New York,1065.0
1936,AL,Slugging Average,New York,0.483
1936,AL,Stolen Bases,Washington,104.0
1936,AL,Triples,Washington,84.0
1937,AL,Base on Balls,New York,709.0
1937,AL,Batting Average,Detroit,0.292
1937,AL,Doubles,St. Louis,327.0
1937,AL,Hits,Detroit,1611.0
1937,AL,Home Runs,New York,174.0
1937,AL,On Base Percentage,Detroit,0.37
1937,AL,Runs,New York,979.0
1937,AL,Slugging Average,New York,0.456
1937,AL,Stolen Bases,Philadelphia,95.0
1937,AL,Triples,Washington,84.0
1938,AL,Base on Balls,New York,749.0
1938,AL,Batting Average,Boston,0.299
1938,AL,Doubles,Cleveland,300.0
1938,AL,Hits,Washington,1602.0
1938,AL,Home Runs,New York,174.0
1938,AL,On Base Percentage,Boston,0.378
1938,AL,Runs,New York,966.0
1938,AL,Slugging Average,New York,0.446
1938,AL,Stolen Bases,New York,91.0
1938,AL,Triples,Cleveland,89.0
1939,AL,Base on Balls,New York,701.0
1939,AL,Batting Average,Boston,0.291
1939,AL,Doubles,Cleveland,291.0
1939,AL,Hits,Boston,1543.0
1939,AL,Home Runs,New York,166.0
1939,AL,On Base Percentage,New York,0.374
1939,AL,Runs,New York,967.0
1939,AL,Slugging Average,New York,0.451
1939,AL,Stolen Bases,Chicago,113.0
1939,AL,Triples,Cleveland,79.0
1940,AL,Base on Balls,Detroit,664.0
1940,AL,Batting Average,Detroit,0.286
1940,AL,Doubles,Detroit,312.0
1940,AL,Hits,Boston,1566.0
1940,AL,Home Runs,New York,155.0
1940,AL,On Base Percentage,Detroit,0.366
1940,AL,Runs,Detroit,888.0
1940,AL,Slugging Average,Boston,0.449
1940,AL,Stolen Bases,Washington,94.0
1940,AL,Triples,Boston,80.0
1941,AL,Base on Balls,St. Louis,775.0
1941,AL,Batting Average,Boston,0.283
1941,AL,Doubles,Boston,304.0
1941,AL,Hits,Boston,1517.0
1941,AL,Home Runs,New York,151.0
1941,AL,On Base Percentage,Boston,0.366
1941,AL,Runs,Boston,865.0
1941,AL,Slugging Average,Boston,0.43
1941,AL,Stolen Bases,Chicago,91.0
1941,AL,Triples,Cleveland,84.0
1942,AL,Base on Balls,St. Louis,609.0
1942,AL,Batting Average,Boston,0.276
1942,AL,Doubles,Boston,244.0
1942,AL,Hits,Boston,1451.0
1942,AL,Home Runs,New York,108.0
1942,AL,On Base Percentage,Boston,0.352
1942,AL,Runs,New York,801.0
1942,AL,Slugging Average,Boston,0.403
1942,AL,Stolen Bases,Chicago,114.0
1942,AL,Triples,St. Louis,62.0
1943,AL,Base on Balls,New York,624.0
1943,AL,Batting Average,Detroit,0.261
1943,AL,Doubles,Cleveland,246.0
1943,AL,Hits,Detroit,1401.0
1943,AL,Home Runs,New York,100.0
1943,AL,On Base Percentage,New York,0.337
1943,AL,Runs,New York,669.0
1943,AL,Slugging Average,New York,0.376
1943,AL,Stolen Bases,Chicago,173.0
1943,AL,Triples,New York,59.0
1944,AL,Base on Balls,Detroit,532.0
1944,AL,Batting Average,Boston,0.27
1944,AL,Doubles,Boston,277.0
1944,AL,Hits,Cleveland,1458.0
1944,AL,Home Runs,New York,96.0
1944,AL,On Base Percentage,Boston,0.336
1944,AL,Runs,Boston,739.0
1944,AL,Slugging Average,New York,0.387
1944,AL,Stolen Bases,Washington,127.0
1944,AL,Triples,New York,74.0
1945,AL,Base on Balls,New York,618.0
1945,AL,Batting Average,Chicago,0.262
1945,AL,Doubles,Detroit,227.0
1945,AL,Hits,Boston,1393.0
1945,AL,Home Runs,New York,93.0
1945,AL,On Base Percentage,New York,0.343
1945,AL,Runs,New York,676.0
1945,AL,Slugging Average,New York,0.373
1945,AL,Stolen Bases,Washington,110.0
1945,AL,Triples,Washington,63.0
1946,AL,Base on Balls,Boston,687.0
1946,AL,Batting Average,Boston,0.271
1946,AL,Doubles,Boston,268.0
1946,AL,Hits,Boston,1441.0
1946,AL,Home Runs,New York,136.0
1946,AL,On Base Percentage,Boston,0.356
1946,AL,Runs,Boston,792.0
1946,AL,Slugging Average,Boston,0.402
1946,AL,Stolen Bases,Chicago,78.0
1946,AL,Triples,Washington,63.0
1947,AL,Base on Balls,Detroit,762.0
1947,AL,Batting Average,New York,0.271
1947,AL,Doubles,Cleveland,234.0
1947,AL,Hits,New York,1439.0
1947,AL,Home Runs,New York,115.0
1947,AL,On Base Percentage,Detroit,0.353
1947,AL,Runs,New York,794.0
1947,AL,Slugging Average,New York,0.407
1947,AL,Stolen Bases,Chicago,91.0
1947,AL,Triples,New York,72.0
1948,AL,Base on Balls,Boston,823.0
1948,AL,Batting Average,Cleveland,0.282
1948,AL,Doubles,Boston,277.0
1948,AL,Hits,Cleveland,1534.0
1948,AL,Home Runs,Cleveland,155.0
1948,AL,On Base Percentage,Boston,0.374
1948,AL,Runs,Boston,907.0
1948,AL,Slugging Average,New York,0.432
1948,AL,Stolen Bases,Washington,76.0
1948,AL,Triples,New York,75.0
1949,AL,Base on Balls,Boston,835.0
1949,AL,Batting Average,Boston,0.282
1949,AL,Doubles,Boston,272.0
1949,AL,Hits,Boston,1500.0
1949,AL,Home Runs,Boston,131.0
1949,AL,On Base Percentage,Boston,0.381
1949,AL,Runs,Boston,896.0
1949,AL,Slugging Average,Boston,0.42
1949,AL,Stolen Bases,Chicago,62.0
1949,AL,Triples,Chicago,66.0
1950,AL,Base on Balls,Detroit,722.0
1950,AL,Batting Average,Boston,0.302
1950,AL,Doubles,Boston,287.0
1950,AL,Hits,Boston,1665.0
1950,AL,Home Runs,Cleveland,164.0
1950,AL,On Base Percentage,Boston,0.385
1950,AL,Runs,Boston,1027.0
1950,AL,Slugging Average,Boston,0.464
1950,AL,Stolen Bases,Philadelphia,42.0
1950,AL,Triples,New York,70.0
1951,AL,Base on Balls,Boston,756.0
1951,AL,Batting Average,Chicago,0.27
1951,AL,Doubles,Philadelphia,262.0
1951,AL,Hits,Chicago,1453.0
1951,AL,Home Runs,Cleveland,140.0
1951,AL,On Base Percentage,Boston,0.358
1951,AL,Runs,Boston,804.0
1951,AL,Slugging Average,New York,0.408
1951,AL,Stolen Bases,Chicago,99.0
1951,AL,Triples,Chicago,64.0
1952,AL,Base on Balls,Philadelphia,683.0
1952,AL,Batting Average,New York,0.267
1952,AL,Doubles,Boston,233.0
1952,AL,Hits,New York,1411.0
1952,AL,Home Runs,Cleveland,148.0
1952,AL,On Base Percentage,Philadelphia,0.343
1952,AL,Runs,Cleveland,763.0
1952,AL,Slugging Average,Cleveland,0.404
1952,AL,Stolen Bases,Chicago,61.0
1952,AL,Triples,New York,56.0
1953,AL,Base on Balls,New York,656.0
1953,AL,Batting Average,New York,0.273
1953,AL,Doubles,Detroit,259.0
1953,AL,Hits,Detroit,1479.0
1953,AL,Home Runs,Cleveland,160.0
1953,AL,On Base Percentage,New York,0.359
1953,AL,Runs,New York,801.0
1953,AL,Slugging Average,New York,0.417
1953,AL,Stolen Bases,Chicago,73.0
1953,AL,Triples,Chicago,53.0
1954,AL,Base on Balls,Boston,654.0
1954,AL,Batting Average,New York,0.268
1954,AL,Doubles,Boston,244.0
1954,AL,Hits,Boston,1436.0
1954,AL,Home Runs,Cleveland,156.0
1954,AL,On Base Percentage,New York,0.351
1954,AL,Runs,New York,805.0
1954,AL,Slugging Average,New York,0.408
1954,AL,Stolen Bases,Chicago,98.0
1954,AL,Triples,Washington,69.0
1955,AL,Base on Balls,Cleveland,723.0
1955,AL,Batting Average,Chicago,0.268
1955,AL,Doubles,Boston,241.0
1955,AL,Hits,Detroit,1407.0
1955,AL,Home Runs,New York,175.0
1955,AL,On Base Percentage,Boston,0.354
1955,AL,Runs,Detroit,775.0
1955,AL,Slugging Average,New York,0.418
1955,AL,Stolen Bases,Chicago,69.0
1955,AL,Triples,New York,55.0
1956,AL,Base on Balls,Boston,727.0
1956,AL,Batting Average,Detroit,0.279
1956,AL,Doubles,Boston,261.0
1956,AL,Hits,Detroit,1494.0
1956,AL,Home Runs,New York,190.0
1956,AL,On Base Percentage,Boston,0.365
1956,AL,Runs,New York,857.0
1956,AL,Slugging Average,New York,0.434
1956,AL,Stolen Bases,Chicago,70.0
1956,AL,Triples,Washington,62.0
1957,AL,Base on Balls,Chicago,633.0
1957,AL,Batting Average,New York,0.268
1957,AL,Doubles,Boston,231.0
1957,AL,Hits,New York,1412.0
1957,AL,Home Runs,Kansas City,166.0
1957,AL,On Base Percentage,Chicago,0.347
1957,AL,Runs,New York,723.0
1957,AL,Slugging Average,New York,0.409
1957,AL,Stolen Bases,Chicago,109.0
1957,AL,Triples,New York,54.0
1958,AL,Base on Balls,Boston,638.0
1958,AL,Batting Average,New York,0.268
1958,AL,Doubles,Boston,229.0
1958,AL,Hits,New York,1418.0
1958,AL,Home Runs,New York,164.0
1958,AL,On Base Percentage,Boston,0.34
1958,AL,Runs,New York,759.0
1958,AL,Slugging Average,New York,0.416
1958,AL,Stolen Bases,Chicago,101.0
1958,AL,Triples,Kansas City,50.0
1959,AL,Base on Balls,Boston,626.0
1959,AL,Batting Average,Kansas City,0.263
1959,AL,Doubles,Boston,248.0
1959,AL,Hits,New York,1397.0
1959,AL,Home Runs,Cleveland,167.0
1959,AL,On Base Percentage,Detroit,0.338
1959,AL,Runs,Cleveland,745.0
1959,AL,Slugging Average,Cleveland,0.408
1959,AL,Stolen Bases,Chicago,113.0
1959,AL,Triples,Chicago,46.0
1960,AL,Base on Balls,Detroit,636.0
1960,AL,Batting Average,Chicago,0.27
1960,AL,Doubles,Chicago,242.0
1960,AL,Hits,Cleveland,1415.0
1960,AL,Home Runs,New York,193.0
1960,AL,On Base Percentage,Chicago,0.348
1960,AL,Runs,New York,746.0
1960,AL,Slugging Average,New York,0.426
1960,AL,Stolen Bases,Chicago,122.0
1960,AL,Triples,Washington,43.0
1961,AL,Base on Balls,Los Angeles,681.0
1961,AL,Batting Average,Detroit,0.266
1961,AL,Doubles,Cleveland,257.0
1961,AL,Hits,Cleveland,1493.0
1961,AL,Home Runs,New York,240.0
1961,AL,On Base Percentage,Detroit,0.349
1961,AL,Runs,Detroit,841.0
1961,AL,Slugging Average,New York,0.442
1961,AL,Stolen Bases,Chicago,100.0
1961,AL,Triples,Detroit,53.0
1962,AL,Base on Balls,Detroit,651.0
1962,AL,Batting Average,New York,0.267
1962,AL,Doubles,Boston,257.0
1962,AL,Hits,New York,1509.0
1962,AL,Home Runs,Detroit,209.0
1962,AL,On Base Percentage,Minnesota,0.34
1962,AL,Runs,New York,817.0
1962,AL,Slugging Average,New York,0.426
1962,AL,Stolen Bases,Washington,99.0
1962,AL,Triples,Kansas City,58.0
1963,AL,Base on Balls,Detroit,592.0
1963,AL,Batting Average,Minnesota,0.255
1963,AL,Doubles,Boston,247.0
1963,AL,Hits,Minnesota,1408.0
1963,AL,Home Runs,Minnesota,225.0
1963,AL,On Base Percentage,Detroit,0.329
1963,AL,Runs,Minnesota,767.0
1963,AL,Slugging Average,Minnesota,0.43
1963,AL,Stolen Bases,Baltimore,97.0
1963,AL,Triples,Chicago,40.0
1964,AL,Base on Balls,Chicago,562.0
1964,AL,Batting Average,Boston,0.258
1964,AL,Doubles,Boston,253.0
1964,AL,Hits,New York,1442.0
1964,AL,Home Runs,Minnesota,221.0
1964,AL,On Base Percentage,Minnesota,0.324
1964,AL,Runs,Minnesota,737.0
1964,AL,Slugging Average,Minnesota,0.427
1964,AL,Stolen Bases,Cleveland,79.0
1964,AL,Triples,Detroit,57.0
1965,AL,Base on Balls,Boston,607.0
1965,AL,Batting Average,Minnesota,0.254
1965,AL,Doubles,Minnesota,257.0
1965,AL,Hits,Minnesota,1396.0
1965,AL,Home Runs,Boston,165.0
1965,AL,On Base Percentage,Boston,0.329
1965,AL,Runs,Minnesota,774.0
1965,AL,Slugging Average,Boston,0.4
1965,AL,Stolen Bases,Kansas City,110.0
1965,AL,Triples,Kansas City,59.0
1966,AL,Base on Balls,Detroit,551.0
1966,AL,Batting Average,Baltimore,0.258
1966,AL,Doubles,Baltimore,243.0
1966,AL,Hits,Baltimore,1426.0
1966,AL,Home Runs,Detroit,179.0
1966,AL,On Base Percentage,Baltimore,0.325
1966,AL,Runs,Baltimore,755.0
1966,AL,Slugging Average,Baltimore,0.409
1966,AL,Stolen Bases,Chicago,153.0
1966,AL,Triples,Kansas City,56.0
1967,AL,Base on Balls,Detroit,626.0
1967,AL,Batting Average,Boston,0.255
1967,AL,Doubles,Boston,216.0
1967,AL,Hits,Boston,1394.0
1967,AL,Home Runs,Boston,158.0
1967,AL,On Base Percentage,Detroit,0.327
1967,AL,Runs,Boston,722.0
1967,AL,Slugging Average,Boston,0.395
1967,AL,Stolen Bases,Kansas City,132.0
1967,AL,Triples,Kansas City,50.0
1968,AL,Base on Balls,Boston,582.0
1968,AL,Batting Average,Oakland,0.24
1968,AL,Doubles,Baltimore,215.0
1968,AL,Hits,Oakland,1300.0
1968,AL,Home Runs,Detroit,185.0
