Year,League,Division,Team,Wins,Losses,Ties,WP,GB,Payroll
1889,AA,Standard,Baltimore Orioles,70,65,,0.519,22.0,
1889,AA,Standard,Columbus Colts,60,78,,0.435,33.5,
1889,AA,Standard,Kansas City Cowboys,55,82,,0.401,38.0,
1889,AA,Standard,Louisville Colonels,27,111,,0.196,66.5,
1890,AA,Standard,Louisville Colonels,88,44,,4.0,0.667,
1890,AA,Standard,Columbus Colts,79,55,,6.0,0.59,
1890,AA,Standard,St. Louis Browns,78,58,,3.0,0.574,
1890,AA,Standard,Toledo Maumees,68,64,,2.0,0.515,
1890,AA,Standard,Rochester Rochesters,63,63,,7.0,0.5,
1890,AA,Standard,Baltimore Orioles,15,19,,4.0,0.441,
1890,AA,Standard,Syracuse Stars,55,72,,1.0,0.433,
1890,AA,Standard,Philadelphia Athletics,54,78,,0.0,0.409,
1890,AA,Standard,Brooklyn Gladiators,26,73,,1.0,0.263,
1891,AA,Standard,Boston Reds,93,42,,4.0,0.689,
1891,AA,Standard,St. Louis Browns,85,51,,3.0,0.623,
1891,AA,Standard,Milwaukee Brewers,21,15,,0.0,0.583,
1891,AA,Standard,Baltimore Orioles,71,64,,4.0,0.526,
1891,AA,Standard,Philadelphia Athletics,73,66,,4.0,0.525,
1891,AA,Standard,Columbus Colts,61,76,,1.0,0.445,
1891,AA,Standard,Cincinnati Kelly's Killers,43,57,,2.0,0.43,
1891,AA,Standard,Louisville Colonels,54,83,,2.0,0.396,
1891,AA,Standard,Washington Senators,44,91,,4.0,0.326,
