Year,League,Division,Team,Wins,Losses,Ties,WP,GB,Payroll
1887,NL,Standard,Detroit Wolverines,79,45,,0.637,0.0,
1887,NL,Standard,Philadelphia Phillies,75,48,,0.61,3.5,
1887,NL,Standard,Chicago White Stockings,71,50,,0.587,6.5,
1887,NL,Standard,New York Giants,68,55,,0.553,10.5,
1887,NL,Standard,Boston Beaneaters,61,60,,0.504,16.5,
1887,NL,Standard,Pittsburgh Alleghenys,55,69,,0.444,24.0,
1887,NL,Standard,Washington Senators,46,76,,0.377,32.0,
1887,NL,Standard,Indianapolis Hoosiers,37,89,,0.294,43.0,
1888,NL,Standard,New York Giants,84,47,,0.641,0.0,
1888,NL,Standard,Chicago White Stockings,77,58,,0.57,9.0,
1888,NL,Standard,Philadelphia Phillies,69,61,,0.531,14.5,
1888,NL,Standard,Boston Beaneaters,70,64,,0.522,15.5,
1888,NL,Standard,Detroit Wolverines,68,63,,0.519,16.0,
1888,NL,Standard,Pittsburgh Alleghenys,66,68,,0.493,19.5,
1888,NL,Standard,Indianapolis Hoosiers,50,85,,0.37,36.0,
1888,NL,Standard,Washington Senators,48,86,,0.358,37.5,
1889,NL,Standard,New York Giants,83,43,,0.659,0.0,
1889,NL,Standard,Boston Beaneaters,83,45,,0.648,1.0,
1889,NL,Standard,Chicago White Stockings,67,65,,0.508,19.0,
1889,NL,Standard,Philadelphia Phillies,63,64,,0.496,20.5,
1889,NL,Standard,Pittsburgh Alleghenys,61,71,,0.462,25.0,
1889,NL,Standard,Cleveland Spiders,61,72,,0.459,25.5,
1889,NL,Standard,Indianapolis Hoosiers,59,75,,0.44,28.0,
1889,NL,Standard,Washington Senators,41,83,,0.331,41.0,
1890,NL,Standard,Brooklyn Bridegrooms,86,43,,0.0,0.667,
1890,NL,Standard,Chicago Colts,83,53,,2.0,0.613,
1890,NL,Standard,Philadelphia Phillies,78,53,,1.0,0.591,
1890,NL,Standard,Cincinnati Reds,77,55,,2.0,0.583,
1890,NL,Standard,Boston Beaneaters,76,57,,1.0,0.571,
1890,NL,Standard,New York Giants,63,68,,4.0,0.481,
1890,NL,Standard,Cleveland Spiders,44,88,,4.0,0.333,
1890,NL,Standard,Pittsburgh Alleghenys,23,113,,2.0,0.169,
1891,NL,Standard,Boston Beaneaters,87,51,,0.63,0.0,
1891,NL,Standard,Chicago Colts,82,53,,0.607,3.5,
1891,NL,Standard,New York Giants,71,61,,0.538,13.0,
1891,NL,Standard,Philadelphia Phillies,68,69,,0.496,18.5,
1891,NL,Standard,Cleveland Spiders,65,74,,0.468,22.5,
1891,NL,Standard,Brooklyn Bridegrooms,61,76,,0.455,25.5,
1891,NL,Standard,Cincinnati Reds,56,81,,0.409,30.5,
1891,NL,Standard,Pittsburgh Pirates,55,80,,0.407,30.5,
1893,NL,Standard,Boston Beaneaters,86,43,,0.667,0.0,
1893,NL,Standard,Pittsburgh Pirates,81,48,,0.628,5.0,
1893,NL,Standard,Cleveland Spiders,73,55,,0.57,12.5,
1893,NL,Standard,Philadelphia Phillies,72,57,,0.558,14.0,
1893,NL,Standard,New York Giants,68,64,,0.515,19.5,
1893,NL,Standard,Cincinnati Reds,65,63,,0.508,20.5,
1893,NL,Standard,Brooklyn Bridegrooms,65,63,,0.508,20.5,
1893,NL,Standard,Baltimore Orioles,60,70,,0.462,26.5,
1893,NL,Standard,Chicago Colts,56,71,,0.441,29.0,
1893,NL,Standard,St. Louis Browns,57,75,,0.432,30.5,
1893,NL,Standard,Louisville Colonels,50,75,,0.4,34.0,
1893,NL,Standard,Washington Senators,40,89,,0.31,46.0,
1894,NL,Standard,Baltimore Orioles,89,39,,0.695,0.0,
1894,NL,Standard,New York Giants,88,44,,0.667,3.0,
1894,NL,Standard,Boston Beaneaters,83,49,,0.629,8.0,
1894,NL,Standard,Philadelphia Phillies,71,57,,0.555,18.0,
1894,NL,Standard,Brooklyn Bridegrooms,70,61,,0.534,20.5,
1894,NL,Standard,Cleveland Spiders,68,61,,0.527,21.5,
1894,NL,Standard,Pittsburgh Pirates,65,65,,0.5,25.0,
1894,NL,Standard,Chicago Colts,57,75,,0.432,34.0,
1894,NL,Standard,St. Louis Browns,56,76,,0.424,35.0,
1894,NL,Standard,Cincinnati Reds,55,75,,0.423,35.0,
1894,NL,Standard,Washington Senators,45,87,,0.341,46.0,
1894,NL,Standard,Louisville Colonels,36,94,,0.277,54.0,
1895,NL,Standard,Baltimore Orioles,87,43,,2.0,0.669,
1895,NL,Standard,Cleveland Spiders,84,46,,1.0,0.646,
1895,NL,Standard,Philadelphia Phillies,78,53,,2.0,0.595,
1895,NL,Standard,Chicago Colts,72,58,,3.0,0.554,
1895,NL,Standard,Brooklyn Bridegrooms,71,60,,2.0,0.542,
1895,NL,Standard,Boston Beaneaters,71,60,,1.0,0.542,
1895,NL,Standard,Pittsburgh Pirates,71,61,,3.0,0.538,
1895,NL,Standard,Cincinnati Reds,66,64,,2.0,0.508,
1895,NL,Standard,New York Giants,66,65,,1.0,0.504,
1895,NL,Standard,Washington Senators,43,85,,4.0,0.336,
1895,NL,Standard,St. Louis Browns,39,92,,5.0,0.298,
1895,NL,Standard,Louisville Colonels,35,96,,2.0,0.267,
1896,NL,Standard,Baltimore Orioles,90,39,,0.698,0.0,
1896,NL,Standard,Cleveland Spiders,80,48,,0.625,9.5,
1896,NL,Standard,Cincinnati Reds,77,50,,0.606,12.0,
1896,NL,Standard,Boston Beaneaters,74,57,,0.565,17.0,
1896,NL,Standard,Chicago Colts,71,57,,0.555,18.5,
1896,NL,Standard,Pittsburgh Pirates,66,63,,0.512,24.0,
1896,NL,Standard,New York Giants,64,67,,0.489,27.0,
1896,NL,Standard,Philadelphia Phillies,62,68,,0.477,28.5,
1896,NL,Standard,Washington Senators,58,73,,0.443,33.0,
1896,NL,Standard,Brooklyn Bridegrooms,58,73,,0.443,33.0,
1896,NL,Standard,St. Louis Browns,40,90,,0.308,50.5,
1896,NL,Standard,Louisville Colonels,38,93,,0.29,53.0,
1897,NL,Standard,Boston Beaneaters,93,39,,3.0,0.705,
1897,NL,Standard,Baltimore Orioles,90,40,,6.0,0.692,
1897,NL,Standard,New York Giants,83,48,,7.0,0.634,
1897,NL,Standard,Cincinnati Reds,76,56,,2.0,0.576,
1897,NL,Standard,Cleveland Spiders,69,62,,1.0,0.527,
1897,NL,Standard,Washington Senators,61,71,,4.0,0.462,
1897,NL,Standard,Brooklyn Bridegrooms,61,71,,3.0,0.462,
1897,NL,Standard,Pittsburgh Pirates,60,71,,4.0,0.458,
1897,NL,Standard,Chicago Colts,59,73,,6.0,0.447,
1897,NL,Standard,Philadelphia Phillies,55,77,,2.0,0.417,
1897,NL,Standard,Louisville Colonels,52,78,,6.0,0.4,
1897,NL,Standard,St. Louis Browns,29,102,,2.0,0.221,
1898,NL,Standard,Boston Beaneaters,102,47,,0.685,0.0,
1898,NL,Standard,Baltimore Orioles,96,53,,0.644,6.0,
1898,NL,Standard,Cincinnati Reds,92,60,,0.605,11.5,
1898,NL,Standard,Chicago Orphans,85,65,,0.567,17.5,
1898,NL,Standard,Cleveland Spiders,81,68,,0.544,21.0,
1898,NL,Standard,Philadelphia Phillies,78,71,,0.523,24.0,
1898,NL,Standard,New York Giants,77,73,,0.513,25.5,
1898,NL,Standard,Pittsburgh Pirates,72,76,,0.486,29.5,
1898,NL,Standard,Louisville Colonels,70,81,,0.464,33.0,
1898,NL,Standard,Brooklyn Bridegrooms,54,91,,0.372,52.5,
1898,NL,Standard,Washington Senators,51,101,,0.336,52.5,
1898,NL,Standard,St. Louis Browns,39,111,,0.26,63.5,
1899,NL,Standard,Brooklyn Superbas,101,47,,2.0,0.682,
1899,NL,Standard,Boston Beaneaters,95,57,,1.0,0.625,
1899,NL,Standard,Philadelphia Phillies,94,58,,2.0,0.618,
1899,NL,Standard,Baltimore Orioles,86,62,,4.0,0.581,
1899,NL,Standard,St. Louis Perfectos,84,67,,4.0,0.556,
1899,NL,Standard,Cincinnati Reds,83,67,,7.0,0.553,
1899,NL,Standard,Pittsburgh Pirates,76,73,,5.0,0.51,
1899,NL,Standard,Chicago Orphans,75,73,,4.0,0.507,
1899,NL,Standard,Louisville Colonels,75,77,,3.0,0.493,
1899,NL,Standard,New York Giants,60,90,,3.0,0.4,
1899,NL,Standard,Washington Senators,54,98,,3.0,0.355,
1899,NL,Standard,Cleveland Spiders,20,134,,0.0,0.13,
1900,NL,Standard,Brooklyn Superbas,82,54,,0.603,0.0,
1900,NL,Standard,Pittsburgh Pirates,79,60,,0.568,4.5,
1900,NL,Standard,Philadelphia Phillies,75,63,,0.543,8.0,
1900,NL,Standard,Boston Beaneaters,66,72,,0.478,17.0,
1900,NL,Standard,St. Louis Cardinals,65,75,,0.464,19.0,
1900,NL,Standard,Chicago Orphans,65,75,,0.464,19.0,
1900,NL,Standard,Cincinnati Reds,62,77,,0.446,21.5,
1900,NL,Standard,New York Giants,60,78,,0.435,23.0,
1901,NL,Standard,Pittsburgh Pirates,90,49,,0.647,0.0,
1901,NL,Standard,Philadelphia Phillies,83,57,,0.593,7.5,
1901,NL,Standard,Brooklyn Superbas,79,57,,0.581,9.5,
1901,NL,Standard,St. Louis Cardinals,76,64,,0.543,14.5,
1901,NL,Standard,Boston Beaneaters,69,69,,0.5,20.5,
1901,NL,Standard,Chicago Orphans,53,86,,0.381,37.0,
1901,NL,Standard,New York Giants,52,85,,0.38,37.0,
1901,NL,Standard,Cincinnati Reds,52,87,,0.374,38.0,
1902,NL,Standard,Pittsburgh Pirates,103,36,,0.741,0.0,
1902,NL,Standard,Brooklyn Superbas,75,63,,0.543,27.5,
1902,NL,Standard,Boston Beaneaters,73,64,,0.533,29.0,
1902,NL,Standard,Cincinnati Reds,70,70,,0.5,33.5,
1902,NL,Standard,Chicago Cubs,68,69,,0.496,34.0,
1902,NL,Standard,St. Louis Cardinals,56,78,,0.418,44.5,
1902,NL,Standard,Philadelphia Phillies,56,81,,0.409,46.0,
1902,NL,Standard,New York Giants,48,88,,0.353,53.5,
1903,NL,Standard,Pittsburgh Pirates,91,49,,0.65,0.0,
1903,NL,Standard,New York Giants,84,55,,0.604,6.5,
1903,NL,Standard,Chicago Cubs,82,56,,0.594,8.0,
1903,NL,Standard,Cincinnati Reds,74,65,,0.532,16.5,
1903,NL,Standard,Brooklyn Superbas,70,66,,0.515,19.0,
1903,NL,Standard,Boston Beaneaters,58,80,,0.42,32.0,
1903,NL,Standard,Philadelphia Phillies,49,86,,0.363,39.5,
1903,NL,Standard,St. Louis Cardinals,43,94,,0.314,46.5,
1904,NL,Standard,New York Giants,106,47,,0.693,0.0,
1904,NL,Standard,Chicago Cubs,93,60,,0.608,13.0,
1904,NL,Standard,Cincinnati Reds,88,65,,0.575,18.0,
1904,NL,Standard,Pittsburgh Pirates,87,66,,0.569,19.0,
1904,NL,Standard,St. Louis Cardinals,75,79,,0.487,31.5,
1904,NL,Standard,Brooklyn Superbas,56,97,,0.366,50.0,
1904,NL,Standard,Boston Beaneaters,55,98,,0.359,51.0,
1904,NL,Standard,Philadelphia Phillies,52,100,,0.342,53.5,
1905,NL,Standard,New York Giants,105,48,,0.686,0.0,
1905,NL,Standard,Pittsburgh Pirates,96,57,,0.627,9.0,
1905,NL,Standard,Chicago Cubs,92,61,,0.601,13.0,
1905,NL,Standard,Philadelphia Phillies,83,69,,0.546,21.5,
1905,NL,Standard,Cincinnati Reds,79,74,,0.516,26.0,
1905,NL,Standard,St. Louis Cardinals,58,96,,0.377,47.5,
1905,NL,Standard,Boston Beaneaters,51,103,,0.331,54.5,
1905,NL,Standard,Brooklyn Superbas,48,104,,0.316,56.5,
1906,NL,Standard,Chicago Cubs,116,36,,0.763,0.0,
1906,NL,Standard,New York Giants,96,56,,0.632,20.0,
1906,NL,Standard,Pittsburgh Pirates,93,60,,0.608,23.5,
1906,NL,Standard,Philadelphia Phillies,71,82,,0.464,45.5,
1906,NL,Standard,Brooklyn Superbas,66,86,,0.434,50.0,
1906,NL,Standard,Cincinnati Reds,64,87,,0.424,51.5,
1906,NL,Standard,St. Louis Cardinals,52,98,,0.347,63.0,
1906,NL,Standard,Boston Beaneaters,49,102,,0.325,66.5,
1907,NL,Standard,Chicago Cubs,107,45,,3.0,0.704,
1907,NL,Standard,Pittsburgh Pirates,91,63,,3.0,0.591,
1907,NL,Standard,Philadelphia Phillies,83,64,,2.0,0.565,
1907,NL,Standard,New York Giants,82,71,,2.0,0.536,
1907,NL,Standard,Brooklyn Superbas,65,83,,5.0,0.439,
1907,NL,Standard,Cincinnati Reds,66,87,,3.0,0.431,
1907,NL,Standard,Boston Doves,58,90,,4.0,0.392,
1907,NL,Standard,St. Louis Cardinals,52,101,,2.0,0.34,
1908,NL,Standard,Chicago Cubs,99,55,,0.643,0.0,
1908,NL,Standard,Pittsburgh Pirates,98,56,,0.636,1.0,
1908,NL,Standard,New York Giants,98,56,,0.636,1.0,
1908,NL,Standard,Philadelphia Phillies,83,71,,0.539,16.0,
1908,NL,Standard,Cincinnati Reds,73,81,,0.474,26.0,
1908,NL,Standard,Boston Doves,63,91,,0.409,36.0,
1908,NL,Standard,Brooklyn Superbas,53,101,,0.344,46.0,
1908,NL,Standard,St. Louis Cardinals,49,105,,0.318,50.0,
1909,NL,Standard,Pittsburgh Pirates,110,42,,0.724,0.0,
1909,NL,Standard,Chicago Cubs,104,49,,0.68,6.5,
1909,NL,Standard,New York Giants,92,61,,0.601,18.5,
1909,NL,Standard,Cincinnati Reds,77,76,,0.503,33.5,
1909,NL,Standard,Philadelphia Phillies,74,79,,0.484,36.5,
1909,NL,Standard,Brooklyn Superbas,55,98,,0.359,55.5,
1909,NL,Standard,St. Louis Cardinals,54,98,,0.355,56.0,
1909,NL,Standard,Boston Doves,45,108,,0.294,65.5,
1910,NL,Standard,Chicago Cubs,104,50,,0.675,0.0,
1910,NL,Standard,New York Giants,91,63,,0.591,13.0,
1910,NL,Standard,Pittsburgh Pirates,86,67,,0.562,17.5,
1910,NL,Standard,Philadelphia Phillies,78,75,,0.51,25.5,
1910,NL,Standard,Cincinnati Reds,75,79,,0.487,29.0,
1910,NL,Standard,Brooklyn Superbas,64,90,,0.416,40.0,
1910,NL,Standard,St. Louis Cardinals,63,90,,0.412,40.5,
1910,NL,Standard,Boston Doves,53,100,,0.346,50.5,
1911,NL,Standard,New York Giants,99,54,,0.647,0.0,
1911,NL,Standard,Chicago Cubs,92,62,,0.597,7.5,
1911,NL,Standard,Pittsburgh Pirates,85,69,,0.552,14.5,
1911,NL,Standard,Philadelphia Phillies,79,73,,0.52,19.5,
1911,NL,Standard,St. Louis Cardinals,75,74,,0.503,22.0,
1911,NL,Standard,Cincinnati Reds,70,83,,0.458,29.0,
1911,NL,Standard,Brooklyn Superbas,64,86,,0.427,33.5,
1911,NL,Standard,Boston Rustlers,44,107,,0.291,54.0,
1912,NL,Standard,New York Giants,103,48,,0.682,0.0,
1912,NL,Standard,Pittsburgh Pirates,93,58,,0.616,10.0,
1912,NL,Standard,Chicago Cubs,91,59,,0.607,11.5,
1912,NL,Standard,Cincinnati Reds,75,78,,0.49,29.0,
1912,NL,Standard,Philadelphia Phillies,73,79,,0.48,30.5,
1912,NL,Standard,St. Louis Cardinals,63,90,,0.412,41.0,
1912,NL,Standard,Brooklyn Superbas,58,95,,0.379,46.0,
1912,NL,Standard,Boston Braves,52,101,,0.34,52.0,
1913,NL,Standard,New York Giants,101,51,,0.664,0.0,
1913,NL,Standard,Philadelphia Phillies,88,63,,0.583,12.5,
1913,NL,Standard,Chicago Cubs,88,65,,0.575,13.5,
1913,NL,Standard,Pittsburgh Pirates,78,71,,0.523,21.5,
1913,NL,Standard,Boston Braves,69,82,,0.457,31.5,
1913,NL,Standard,Brooklyn Superbas,65,84,,0.436,34.5,
1913,NL,Standard,Cincinnati Reds,64,89,,0.418,37.5,
1913,NL,Standard,St. Louis Cardinals,51,99,,0.34,49.0,
1914,NL,Standard,Boston Braves,94,59,,0.614,0.0,
1914,NL,Standard,New York Giants,84,70,,0.545,10.5,
1914,NL,Standard,St. Louis Cardinals,81,72,,0.529,13.0,
1914,NL,Standard,Chicago Cubs,78,76,,0.506,16.5,
1914,NL,Standard,Brooklyn Robins,75,79,,0.487,19.5,
1914,NL,Standard,Philadelphia Phillies,74,80,,0.481,20.5,
1914,NL,Standard,Pittsburgh Pirates,69,85,,0.448,25.5,
1914,NL,Standard,Cincinnati Reds,60,94,,0.39,34.5,
1915,NL,Standard,Philadelphia Phillies,90,62,,0.592,0.0,
1915,NL,Standard,Boston Braves,83,69,,0.546,7.0,
1915,NL,Standard,Brooklyn Robins,80,72,,0.526,10.0,
1915,NL,Standard,Chicago Cubs,73,80,,0.477,17.5,
1915,NL,Standard,Pittsburgh Pirates,73,81,,0.474,18.0,
1915,NL,Standard,St. Louis Cardinals,72,81,,0.471,18.5,
1915,NL,Standard,Cincinnati Reds,71,83,,0.461,20.0,
1915,NL,Standard,New York Giants,69,83,,0.454,21.0,
1916,NL,Standard,Brooklyn Robins,94,60,,0.61,0.0,
1916,NL,Standard,Philadelphia Phillies,91,62,,0.595,2.5,
1916,NL,Standard,Boston Braves,89,63,,0.586,4.0,
1916,NL,Standard,New York Giants,86,66,,0.566,7.0,
1916,NL,Standard,Chicago Cubs,67,86,,0.438,26.5,
1916,NL,Standard,Pittsburgh Pirates,65,89,,0.422,29.0,
1916,NL,Standard,St. Louis Cardinals,60,93,,0.392,33.5,
1916,NL,Standard,Cincinnati Reds,60,93,,0.392,33.5,
1917,NL,Standard,New York Giants,98,56,,0.636,0.0,
1917,NL,Standard,Philadelphia Phillies,87,65,,0.572,10.0,
1917,NL,Standard,St. Louis Cardinals,82,70,,0.539,15.0,
1917,NL,Standard,Cincinnati Reds,78,76,,0.506,20.0,
1917,NL,Standard,Chicago Cubs,74,80,,0.481,24.0,
1917,NL,Standard,Boston Braves,72,81,,0.471,25.5,
1917,NL,Standard,Brooklyn Robins,70,81,,0.464,26.5,
1917,NL,Standard,Pittsburgh Pirates,51,103,,0.331,47.0,
1918,NL,Standard,Chicago Cubs,84,45,,2.0,0.651,
1918,NL,Standard,New York Giants,71,53,,0.0,0.573,
1918,NL,Standard,Cincinnati Reds,68,60,,1.0,0.531,
1918,NL,Standard,Pittsburgh Pirates,65,60,,1.0,0.52,
1918,NL,Standard,Brooklyn Robins,57,69,,0.0,0.452,
1918,NL,Standard,Philadelphia Phillies,55,68,,2.0,0.447,
1918,NL,Standard,Boston Braves,53,71,,0.0,0.427,
1918,NL,Standard,St. Louis Cardinals,51,78,,2.0,0.395,
1919,NL,Standard,Cincinnati Reds,96,44,,0.686,0.0,
1919,NL,Standard,New York Giants,87,53,,0.621,9.0,
1919,NL,Standard,Chicago Cubs,75,65,,0.536,21.0,
1919,NL,Standard,Pittsburgh Pirates,71,68,,0.511,24.5,
1919,NL,Standard,Brooklyn Robins,69,71,,0.493,27.0,
1919,NL,Standard,Boston Braves,57,82,,0.41,38.5,
1919,NL,Standard,St. Louis Cardinals,54,83,,0.394,40.5,
1919,NL,Standard,Philadelphia Phillies,47,90,,0.343,47.5,
1920,NL,Standard,Brooklyn Robins,93,61,,0.604,0.0,
1920,NL,Standard,New York Giants,86,68,,0.558,7.0,
1920,NL,Standard,Cincinnati Reds,82,71,,0.536,10.5,
1920,NL,Standard,Pittsburgh Pirates,79,75,,0.513,14.0,
1920,NL,Standard,St. Louis Cardinals,75,79,,0.487,18.0,
1920,NL,Standard,Chicago Cubs,75,79,,0.487,18.0,
1920,NL,Standard,Boston Braves,62,90,,0.408,30.0,
1920,NL,Standard,Philadelphia Phillies,62,91,,0.405,30.5,
1921,NL,Standard,New York Giants,94,59,,0.614,0.0,
1921,NL,Standard,Pittsburgh Pirates,90,63,,0.588,4.0,
1921,NL,Standard,St. Louis Cardinals,87,66,,0.569,7.0,
1921,NL,Standard,Boston Braves,79,74,,0.516,15.0,
1921,NL,Standard,Brooklyn Robins,77,75,,0.507,16.5,
1921,NL,Standard,Cincinnati Reds,70,83,,0.458,24.0,
1921,NL,Standard,Chicago Cubs,64,89,,0.418,30.0,
1921,NL,Standard,Philadelphia Phillies,51,103,,0.331,43.5,
1922,NL,Standard,New York Giants,93,61,,0.604,0.0,
1922,NL,Standard,Cincinnati Reds,86,68,,0.558,7.0,
1922,NL,Standard,St. Louis Cardinals,85,69,,0.552,8.0,
1922,NL,Standard,Pittsburgh Pirates,85,69,,0.552,8.0,
1922,NL,Standard,Chicago Cubs,80,74,,0.519,13.0,
1922,NL,Standard,Brooklyn Robins,76,78,,0.494,17.0,
1922,NL,Standard,Philadelphia Phillies,57,96,,0.373,35.5,
1922,NL,Standard,Boston Braves,53,100,,0.346,39.5,
1923,NL,Standard,New York Giants,95,58,,0.621,0.0,
1923,NL,Standard,Cincinnati Reds,91,63,,0.591,4.5,
1923,NL,Standard,Pittsburgh Pirates,87,67,,0.565,8.5,
1923,NL,Standard,Chicago Cubs,83,71,,0.539,12.5,
1923,NL,Standard,St. Louis Cardinals,79,74,,0.516,16.0,
1923,NL,Standard,Brooklyn Robins,76,78,,0.494,19.5,
1923,NL,Standard,Boston Braves,54,100,,0.351,41.5,
1923,NL,Standard,Philadelphia Phillies,50,104,,0.325,45.5,
1924,NL,Standard,New York Giants,93,60,,0.0,0.608,
1924,NL,Standard,Brooklyn Robins,92,62,,0.0,0.597,
1924,NL,Standard,Pittsburgh Pirates,90,63,,0.0,0.588,
1924,NL,Standard,Cincinnati Reds,83,70,,0.0,0.542,
1924,NL,Standard,Chicago Cubs,81,72,,0.0,0.529,
1924,NL,Standard,St. Louis Cardinals,65,89,,0.0,0.422,
1924,NL,Standard,Philadelphia Phillies,55,96,,1.0,0.364,
1924,NL,Standard,Boston Braves,53,100,,1.0,0.346,
1925,NL,Standard,Pittsburgh Pirates,95,58,,0.621,0.0,
1925,NL,Standard,New York Giants,86,66,,0.566,8.5,
1925,NL,Standard,Cincinnati Reds,80,73,,0.523,15.0,
1925,NL,Standard,St. Louis Cardinals,77,76,,0.503,18.0,
1925,NL,Standard,Boston Braves,70,83,,0.458,25.0,
